name, latitude, longitude, timestamp
activity, -5.8411178, -35.2000617, 2022-04-07T23:27:51.099Z
activity, -5.841135, -35.1998596, 2022-04-07T23:27:51.099Z
activity, -5.8419928, -35.2000617, 2022-04-07T23:27:51.099Z
activity, -5.842719, -35.1992111, 2022-04-07T23:27:51.099Z
activity, -5.8431553, -35.1996765, 2022-04-07T23:27:51.099Z
activity, -5.8441514, -35.1966361, 2022-04-07T23:27:51.099Z
activity, -5.8438749, -35.1999473, 2022-04-07T23:27:51.099Z
activity, -5.8436889, -35.2016143, 2022-04-07T23:27:51.099Z
activity, -5.8436617, -35.2018661, 2022-04-07T23:27:51.099Z
activity, -5.8439207, -35.2027244, 2022-04-07T23:27:51.099Z
activity, -5.8450555, -35.2038803, 2022-04-07T23:27:51.099Z
activity, -5.8453025, -35.2041587, 2022-04-08T13:11:11.136Z
activity, -5.8494267, -35.2066421, 2022-04-08T13:11:11.136Z
activity, -5.8459515, -35.2099113, 2022-04-08T13:11:11.136Z
activity, -5.8455066, -35.2045249, 2022-04-08T23:28:34.672Z
activity, -5.8501362, -35.2058448, 2022-04-08T23:28:34.672Z
activity, -5.8565483, -35.2116622, 2022-04-08T23:28:34.672Z
activity, -5.8564991, -35.211647, 2022-04-09T02:58:43.302Z
activity, -5.8542842, -35.2098884, 2022-04-09T02:58:43.302Z
activity, -5.8539185, -35.2096252, 2022-04-09T02:58:43.302Z
activity, -5.8539266, -35.209629, 2022-04-09T05:09:35.502Z
activity, -5.8560357, -35.2114982, 2022-04-09T05:09:35.502Z
activity, -5.8595752, -35.2103118, 2022-04-09T05:09:35.502Z
activity, -5.8582243, -35.2127685, 2022-04-09T05:09:35.502Z
activity, -5.8453121, -35.2041702, 2022-04-09T05:09:35.502Z
activity, -5.8452115, -35.2040557, 2022-04-09T11:00:18.142Z
activity, -5.8453035, -35.2052803, 2022-04-09T11:00:18.142Z
activity, -5.8458952, -35.2060127, 2022-04-09T11:00:18.142Z
activity, -5.8457136, -35.2064781, 2022-04-09T11:00:18.142Z
activity, -5.8452987, -35.2078247, 2022-04-09T11:00:18.142Z
activity, -5.8247232, -35.2094268, 2022-04-09T11:00:18.142Z
activity, -5.8208656, -35.2079963, 2022-04-09T11:00:18.142Z
activity, -5.8133597, -35.2201309, 2022-04-09T11:00:18.142Z
activity, -5.8128671, -35.2214927, 2022-04-09T11:00:18.142Z
activity, -5.8111729, -35.2259407, 2022-04-09T11:00:18.142Z
activity, -5.8111381, -35.2259292, 2022-04-09T11:00:18.142Z
activity, -5.8045306, -35.2274627, 2022-04-09T11:00:18.142Z
activity, -5.7999453, -35.2381172, 2022-04-09T11:00:18.142Z
activity, -5.7986912, -35.2380905, 2022-04-09T12:22:38.761Z
activity, -5.7991075, -35.2379989, 2022-04-09T12:22:38.761Z
activity, -5.7981095, -35.2358589, 2022-04-09T12:22:38.761Z
activity, -5.7984933, -35.234764, 2022-04-09T12:22:38.761Z
activity, -5.7974052, -35.2328224, 2022-04-09T12:22:38.761Z
activity, -5.7971749, -35.2310867, 2022-04-09T12:22:38.761Z
activity, -5.7970023, -35.2304306, 2022-04-09T12:22:38.761Z
activity, -5.7966408, -35.2284698, 2022-04-09T12:22:38.761Z
activity, -5.7967247, -35.228157, 2022-04-09T12:22:38.761Z
activity, -5.7975921, -35.2271499, 2022-04-09T12:22:38.761Z
activity, -5.7975921, -35.2271499, 2022-04-09T12:22:38.761Z
activity, -5.798994, -35.2255325, 2022-04-09T12:22:38.761Z
activity, -5.7990174, -35.2255134, 2022-04-09T12:22:38.761Z
activity, -5.7992229, -35.2252922, 2022-04-09T12:22:38.761Z
activity, -5.7960581, -35.2245101, 2022-04-09T12:22:38.761Z
activity, -5.7963833, -35.223236, 2022-04-09T12:22:38.761Z
activity, -5.7968082, -35.2229347, 2022-04-09T12:22:38.761Z
activity, -5.7966141, -35.2225723, 2022-04-09T12:22:38.761Z
activity, -5.7958269, -35.2221755, 2022-04-09T12:22:38.761Z
activity, -5.797018, -35.2222671, 2022-04-09T12:22:38.761Z
activity, -5.7960257, -35.2210502, 2022-04-09T12:22:38.761Z
activity, -5.7973875, -35.2200012, 2022-04-09T12:22:38.761Z
activity, -5.7962679, -35.2186164, 2022-04-09T12:22:38.761Z
activity, -5.8151507, -35.2113609, 2022-04-09T14:12:37.962Z
activity, -5.8237686, -35.2145576, 2022-04-09T14:12:37.962Z
activity, -5.8429179, -35.2090835, 2022-04-09T14:12:37.962Z
activity, -5.846817, -35.2065238, 2022-04-09T14:12:37.962Z
activity, -5.8469696, -35.2060585, 2022-04-09T14:12:37.962Z
activity, -5.8464384, -35.2054786, 2022-04-09T14:12:37.962Z
activity, -5.8453059, -35.2041625, 2022-04-09T14:12:37.962Z
activity, -5.8498983, -35.2061157, 2022-04-09T15:07:28.472Z
activity, -5.8496313, -35.2064399, 2022-04-09T15:07:28.472Z
activity, -5.8453097, -35.2041664, 2022-04-09T15:07:28.472Z
activity, -5.7994713, -35.2386131, 2022-04-11T11:58:26.538Z
activity, -5.8031306, -35.2317543, 2022-04-11T11:58:26.538Z
activity, -5.8070144, -35.2317199, 2022-04-11T11:58:26.538Z
activity, -5.806921, -35.2315864, 2022-04-11T12:17:01.596Z
activity, -5.8046302, -35.2275276, 2022-04-11T12:17:01.596Z
activity, -5.8453102, -35.2041702, 2022-04-11T12:17:01.596Z
activity, -5.8452501, -35.2041015, 2022-04-11T12:54:36.111Z
activity, -5.8422894, -35.209671, 2022-04-11T12:54:36.111Z
activity, -5.8475394, -35.2099494, 2022-04-11T12:54:36.111Z
activity, -5.843472, -35.2094383, 2022-04-11T12:54:36.111Z
activity, -5.847506, -35.2068023, 2022-04-11T12:54:36.111Z
